table,module,chemin,acces,nb_references,domaine_module
glossary_term_relations,scripts/import-biodiv-pedago,scripts/import-biodiv-pedago.js,RW,2,script
glossary_term_species,routes/glossary,routes/glossary.js,R,1,pedagogie
glossary_term_species,routes/plants,routes/plants.js,R,1,biodiversite
glossary_term_species,scripts/audit-pedago-content,scripts/audit-pedago-content.js,R,1,script
glossary_term_species,scripts/import-biodiv-pedago,scripts/import-biodiv-pedago.js,RW,2,script
glossary_term_tutorials,lib/tutorialDedup,lib/tutorialDedup.js,W,2,pedagogie
glossary_term_tutorials,routes/glossary,routes/glossary.js,R,1,pedagogie
glossary_term_tutorials,routes/tutorials,routes/tutorials.js,R,1,pedagogie
glossary_term_tutorials,scripts/import-biodiv-pedago,scripts/import-biodiv-pedago.js,RW,2,script
glossary_terms,lib/curriculumNotions,lib/curriculumNotions.js,R,2,pedagogie
glossary_terms,lib/fmQuizCrud,lib/fmQuizCrud.js,R,1,pedagogie
glossary_terms,lib/fmQuizImport,lib/fmQuizImport.js,R,1,pedagogie
glossary_terms,lib/fmUserJournal,lib/fmUserJournal.js,R,5,pedagogie
glossary_terms,routes/curriculum,routes/curriculum.js,R,2,pedagogie
glossary_terms,routes/food-web,routes/food-web.js,R,1,biodiversite
glossary_terms,routes/glossary,routes/glossary.js,R,6,pedagogie
glossary_terms,routes/learning-links,routes/learning-links.js,R,2,pedagogie
glossary_terms,routes/plants,routes/plants.js,R,1,biodiversite
glossary_terms,routes/quiz,routes/quiz.js,R,1,pedagogie
glossary_terms,routes/tutorials,routes/tutorials.js,R,2,pedagogie
glossary_terms,scripts/audit-pedago-content,scripts/audit-pedago-content.js,R,1,script
glossary_terms,scripts/generate-linked-questions,scripts/generate-linked-questions.js,R,2,script
glossary_terms,scripts/import-biodiv-pedago,scripts/import-biodiv-pedago.js,RW,2,script
glossary_terms,scripts/suggest-learning-links,scripts/suggest-learning-links.js,R,1,script
group_members,lib/accountMerge,lib/accountMerge.js,RW,4,identite
group_members,lib/biodivPedagoLevel,lib/biodivPedagoLevel.js,R,1,biodiversite
group_members,lib/effectiveRole,lib/effectiveRole.js,R,2,identite
group_members,lib/groupImport,lib/groupImport.js,W,1,identite
group_members,lib/groupMembers,lib/groupMembers.js,RW,3,identite
group_members,lib/groupScope,lib/groupScope.js,R,2,identite
group_members,lib/legacySchemaCleanup,lib/legacySchemaCleanup.js,W,2,migration-runtime
group_members,lib/moodle/apply,lib/moodle/apply.js,RW,3,identite
group_members,lib/moodle/conflicts,lib/moodle/conflicts.js,W,2,identite
group_members,lib/moodle/localState,lib/moodle/localState.js,R,1,identite
group_members,lib/moodle/syncRun,lib/moodle/syncRun.js,R,1,identite
group_members,lib/moodle/undo,lib/moodle/undo.js,RW,3,identite
group_members,lib/n3beurStudents,lib/n3beurStudents.js,R,1,identite
group_members,lib/rbacUserGroups,lib/rbacUserGroups.js,R,1,identite
group_members,lib/studentProgressionSync,lib/studentProgressionSync.js,R,1,identite
group_members,routes/groups,routes/groups.js,RW,6,identite
group_members,routes/rbac,routes/rbac.js,R,1,identite
group_members,routes/tasks,routes/tasks.js,R,1,taches
group_scopes,lib/groupScope,lib/groupScope.js,R,4,identite
group_scopes,lib/mapAccess,lib/mapAccess.js,R,1,terrain
group_scopes,routes/groups,routes/groups.js,RW,4,identite
groups,lib/accountMerge,lib/accountMerge.js,RW,4,identite
groups,lib/biodivPedagoLevel,lib/biodivPedagoLevel.js,R,2,biodiversite
groups,lib/effectiveRole,lib/effectiveRole.js,R,1,identite
groups,lib/groupImport,lib/groupImport.js,RW,4,identite
groups,lib/groupMembers,lib/groupMembers.js,R,1,identite
groups,lib/groupScope,lib/groupScope.js,R,3,identite
groups,lib/legacySchemaCleanup,lib/legacySchemaCleanup.js,W,2,migration-runtime
groups,lib/locationAudience,lib/locationAudience.js,R,1,terrain
groups,lib/mapAccess,lib/mapAccess.js,R,1,terrain
groups,lib/moodle/apply,lib/moodle/apply.js,RW,4,identite
groups,lib/moodle/conflicts,lib/moodle/conflicts.js,RW,3,identite
groups,lib/moodle/exempt,lib/moodle/exempt.js,RW,3,identite
groups,lib/moodle/localState,lib/moodle/localState.js,R,2,identite
groups,lib/moodle/teamsMirror,lib/moodle/teamsMirror.js,R,1,identite
groups,lib/moodle/undo,lib/moodle/undo.js,W,4,identite
groups,lib/n3beurStudents,lib/n3beurStudents.js,R,1,identite
groups,lib/rbacUserGroups,lib/rbacUserGroups.js,R,1,identite
groups,lib/studentProgressionSync,lib/studentProgressionSync.js,R,1,identite
groups,routes/auth,routes/auth.js,R,1,identite
groups,routes/groups,routes/groups.js,RW,17,identite
groups,routes/rbac,routes/rbac.js,R,1,identite
groups,scripts/anonymize-local-db,scripts/anonymize-local-db.js,W,1,script
id_key_couplets,routes/id-keys,routes/id-keys.js,RW,9,biodiversite
id_key_leads,routes/id-keys,routes/id-keys.js,RW,3,biodiversite
id_keys,lib/accountMerge,lib/accountMerge.js,RW,4,identite
id_keys,routes/id-keys,routes/id-keys.js,RW,12,biodiversite
id_keys,routes/pedago-sessions,routes/pedago-sessions.js,R,1,pedagogie
individual_measurements,lib/accountMerge,lib/accountMerge.js,RW,4,identite
individual_measurements,routes/individuals,routes/individuals.js,RW,5,biodiversite
learning_acknowledgements,lib/accountMerge,lib/accountMerge.js,RW,4,identite
learning_acknowledgements,lib/fmUserJournal,lib/fmUserJournal.js,R,1,pedagogie
learning_acknowledgements,lib/learningGatingProgress,lib/learningGatingProgress.js,R,1,pedagogie
learning_acknowledgements,lib/shared/learningAckCore,lib/shared/learningAckCore.js,RW,2,pedagogie
learning_acknowledgements,routes/glossary,routes/glossary.js,R,1,pedagogie
learning_acknowledgements,routes/learning-gating,routes/learning-gating.js,R,1,pedagogie
location_categories,lib/locationCategories,lib/locationCategories.js,R,4,terrain
location_categories,lib/planContent,lib/planContent.js,R,1,terrain
location_categories,routes/map-categories,routes/map-categories.js,RW,8,terrain
location_categories,routes/visit,routes/visit.js,R,1,terrain
location_categories,scripts/report-marker-density,scripts/report-marker-density.js,R,1,script
location_links,lib/locationLinks,lib/locationLinks.js,RW,4,terrain
location_notes,lib/locationNotes,lib/locationNotes.js,RW,4,terrain
location_notes,scripts/anonymize-local-db,scripts/anonymize-local-db.js,W,1,script
lti_nonces,lib/lti/oidc,lib/lti/oidc.js,W,3,identite
map_markers,lib/entityPhotoRoutes,lib/entityPhotoRoutes.js,R,3,terrain
map_markers,lib/legacySchemaCleanup,lib/legacySchemaCleanup.js,W,2,migration-runtime
map_markers,lib/notificationEvents,lib/notificationEvents.js,R,1,social
map_markers,lib/notifications,lib/notifications.js,R,1,social
map_markers,lib/placeMessages,lib/placeMessages.js,R,2,terrain
map_markers,lib/planContent,lib/planContent.js,R,2,terrain
map_markers,lib/speciesJunction,lib/speciesJunction.js,R,1,biodiversite
map_markers,lib/sqliteGardenSqlExport,lib/sqliteGardenSqlExport.js,RW,8,transverse
map_markers,lib/taskDeadlineReminders,lib/taskDeadlineReminders.js,R,1,taches
map_markers,lib/tasks/taskQueries,lib/tasks/taskQueries.js,R,2,taches
map_markers,lib/visitNotesWrite,lib/visitNotesWrite.js,R,1,terrain
map_markers,routes/context-comments,routes/context-comments.js,R,1,social
map_markers,routes/individuals,routes/individuals.js,R,1,biodiversite
map_markers,routes/map-categories,routes/map-categories.js,R,1,terrain
map_markers,routes/map-routes,routes/map-routes.js,R,3,terrain
map_markers,routes/map,routes/map.js,RW,6,terrain
map_markers,routes/task-projects,routes/task-projects.js,R,2,taches
map_markers,routes/tasks,routes/tasks.js,R,2,taches
map_markers,routes/tutorials,routes/tutorials.js,R,4,pedagogie
map_markers,routes/visit,routes/visit.js,R,1,terrain
map_markers,routes/visit/sync,routes/visit/sync.js,RW,4,terrain
map_markers,scripts/anonymize-local-db,scripts/anonymize-local-db.js,W,1,script
map_markers,scripts/ensure-admin-and-audit-db,scripts/ensure-admin-and-audit-db.js,R,1,script
map_markers,scripts/migrate-sqlite-to-mysql,scripts/migrate-sqlite-to-mysql.js,RW,3,script
map_markers,scripts/report-marker-density,scripts/report-marker-density.js,R,2,script
map_route_steps,lib/planContent,lib/planContent.js,R,1,terrain
map_route_steps,routes/map-routes,routes/map-routes.js,RW,3,terrain
map_route_steps,routes/visit,routes/visit.js,R,1,terrain
map_routes,lib/planContent,lib/planContent.js,R,2,terrain
map_routes,routes/map-routes,routes/map-routes.js,RW,6,terrain
map_routes,routes/pedago-sessions,routes/pedago-sessions.js,R,1,pedagogie
map_routes,routes/visit,routes/visit.js,R,1,terrain
map_species,lib/accountMerge,lib/accountMerge.js,RW,4,identite
map_species,lib/speciesJunction,lib/speciesJunction.js,RW,10,biodiversite
map_species,routes/clades,routes/clades.js,R,1,biodiversite
maps,database,database.js,W,1,migration-runtime
maps,lib/mapQueries,lib/mapQueries.js,R,1,terrain
maps,lib/notificationEvents,lib/notificationEvents.js,R,1,social
maps,lib/planContent,lib/planContent.js,R,2,terrain
maps,lib/settings,lib/settings.js,R,4,transverse
maps,lib/speciesJunction,lib/speciesJunction.js,R,2,biodiversite
maps,lib/surfaceAccess,lib/surfaceAccess.js,R,1,terrain
maps,lib/tasks/taskImport,lib/tasks/taskImport.js,R,1,taches
maps,lib/tasks/taskQueries,lib/tasks/taskQueries.js,R,1,taches
maps,lib/visitMascotDiagnostics,lib/visitMascotDiagnostics.js,R,1,terrain
maps,routes/food-web,routes/food-web.js,R,1,biodiversite
maps,routes/groups,routes/groups.js,R,1,identite
maps,routes/id-keys,routes/id-keys.js,R,2,biodiversite
maps,routes/individuals,routes/individuals.js,R,1,biodiversite
maps,routes/maps,routes/maps.js,R,2,terrain
maps,routes/settings,routes/settings.js,RW,12,transverse
maps,routes/task-projects,routes/task-projects.js,R,3,taches
maps,routes/tasks,routes/tasks.js,R,2,taches
maps,routes/tutorials,routes/tutorials.js,R,1,pedagogie
maps,scripts/gen-zones-lyautey-batiments,scripts/gen-zones-lyautey-batiments.js,W,1,script
maps,scripts/profile-memory-scenarios,scripts/profile-memory-scenarios.js,R,2,script
maps,scripts/report-marker-density,scripts/report-marker-density.js,R,1,script
marker_categories,lib/locationCategories,lib/locationCategories.js,RW,3,terrain
marker_categories,routes/map-categories,routes/map-categories.js,W,1,terrain
marker_categories,routes/map,routes/map.js,R,1,terrain
marker_categories,scripts/report-marker-density,scripts/report-marker-density.js,R,1,script
marker_photos,lib/entityPhotoRoutes,lib/entityPhotoRoutes.js,RW,11,terrain
marker_photos,lib/planContent,lib/planContent.js,R,1,terrain
marker_photos,lib/sqliteGardenSqlExport,lib/sqliteGardenSqlExport.js,W,1,transverse
marker_photos,routes/map,routes/map.js,RW,2,terrain
marker_photos,routes/visit,routes/visit.js,R,1,terrain
marker_species,lib/speciesJunction,lib/speciesJunction.js,RW,4,biodiversite
marker_species,scripts/import-biodiv-pedago,scripts/import-biodiv-pedago.js,RW,2,script
notifications,lib/accountMerge,lib/accountMerge.js,RW,4,identite
notifications,lib/notifications,lib/notifications.js,RW,7,social
observation_logs,lib/accountMerge,lib/accountMerge.js,RW,4,identite
observation_logs,lib/fmUserJournal,lib/fmUserJournal.js,R,1,pedagogie
observation_logs,lib/sqliteGardenSqlExport,lib/sqliteGardenSqlExport.js,W,1,transverse
observation_logs,routes/groups,routes/groups.js,W,1,identite
observation_logs,routes/observations,routes/observations.js,RW,9,biodiversite
observation_logs,scripts/anonymize-local-db,scripts/anonymize-local-db.js,W,1,script
observation_logs,scripts/reconcile-orphan-uploads,scripts/reconcile-orphan-uploads.js,R,1,script
password_reset_tokens,lib/accountMerge,lib/accountMerge.js,RW,2,identite
password_reset_tokens,lib/auth/tokenEpoch,lib/auth/tokenEpoch.js,W,1,identite
password_reset_tokens,lib/passwordReset,lib/passwordReset.js,RW,3,identite
password_reset_tokens,lib/studentDeletion,lib/studentDeletion.js,W,2,identite
password_reset_tokens,routes/rbac,routes/rbac.js,W,1,identite
password_reset_tokens,scripts/anonymize-local-db,scripts/anonymize-local-db.js,W,1,script
pedago_session_runs,lib/accountMerge,lib/accountMerge.js,RW,4,identite
pedago_session_runs,lib/pedagoSessionRuns,lib/pedagoSessionRuns.js,RW,8,pedagogie
pedago_session_runs,lib/rewards,lib/rewards.js,R,1,social
pedago_sessions,lib/accountMerge,lib/accountMerge.js,RW,4,identite
pedago_sessions,routes/pedago-sessions,routes/pedago-sessions.js,RW,7,pedagogie
pedago_sessions,routes/tasks,routes/tasks.js,R,1,taches
permissions,lib/rbac,lib/rbac.js,W,1,identite
permissions,routes/rbac,routes/rbac.js,R,3,identite
plant_name_aliases,lib/speciesJunction,lib/speciesJunction.js,R,1,biodiversite
plant_name_aliases,scripts/import-biodiv-pedago,scripts/import-biodiv-pedago.js,RW,2,script
plants,database,database.js,RW,2,migration-runtime
plants,lib/accountMerge,lib/accountMerge.js,RW,4,identite
plants,lib/fmUserJournal,lib/fmUserJournal.js,R,5,pedagogie
plants,lib/shared/foodWebCore,lib/shared/foodWebCore.js,R,1,biodiversite
plants,lib/speciesJunction,lib/speciesJunction.js,R,8,biodiversite
plants,routes/clades,routes/clades.js,R,3,biodiversite
plants,routes/context-comments,routes/context-comments.js,R,1,social
plants,routes/glossary,routes/glossary.js,R,1,pedagogie
plants,routes/id-keys,routes/id-keys.js,R,2,biodiversite
plants,routes/individuals,routes/individuals.js,R,3,biodiversite
plants,routes/learning-links,routes/learning-links.js,R,2,pedagogie
plants,routes/pedago-sessions,routes/pedago-sessions.js,R,1,pedagogie
plants,routes/plants,routes/plants.js,RW,25,biodiversite
plants,scripts/audit-pedago-content,scripts/audit-pedago-content.js,R,1,script
plants,scripts/backfill-gbif-keys,scripts/backfill-gbif-keys.js,RW,2,script
plants,scripts/consolidate-plants-sources,scripts/consolidate-plants-sources.js,RW,2,script
plants,scripts/generate-linked-questions,scripts/generate-linked-questions.js,R,3,script
plants,scripts/import-plants-enriched,scripts/import-plants-enriched.js,RW,2,script
plants,scripts/migrate-sqlite-to-mysql,scripts/migrate-sqlite-to-mysql.js,RW,3,script
plants,scripts/resolve-plants-photo-direct-links,scripts/resolve-plants-photo-direct-links.js,RW,2,script
plants,scripts/suggest-learning-links,scripts/suggest-learning-links.js,R,1,script
project_markers,lib/sqliteGardenSqlExport,lib/sqliteGardenSqlExport.js,W,1,transverse
project_markers,routes/task-projects,routes/task-projects.js,RW,6,taches
project_tutorials,lib/tutorialDedup,lib/tutorialDedup.js,W,2,pedagogie
project_tutorials,routes/task-projects,routes/task-projects.js,RW,6,taches
project_zones,lib/sqliteGardenSqlExport,lib/sqliteGardenSqlExport.js,W,1,transverse
project_zones,routes/task-projects,routes/task-projects.js,RW,6,taches
quiz_categories,lib/curriculumNotions,lib/curriculumNotions.js,R,1,pedagogie
quiz_categories,lib/fmQuizCrud,lib/fmQuizCrud.js,R,2,pedagogie
quiz_categories,lib/fmQuizImport,lib/fmQuizImport.js,RW,4,pedagogie
quiz_categories,routes/curriculum,routes/curriculum.js,R,2,pedagogie
quiz_categories,routes/quiz,routes/quiz.js,R,3,pedagogie
quiz_categories,scripts/generate-linked-questions,scripts/generate-linked-questions.js,W,1,script
quiz_category_notions,lib/curriculumNotions,lib/curriculumNotions.js,R,4,pedagogie
quiz_category_notions,routes/curriculum,routes/curriculum.js,RW,3,pedagogie
quiz_question_notions,lib/curriculumNotions,lib/curriculumNotions.js,R,3,pedagogie
quiz_question_notions,routes/curriculum,routes/curriculum.js,W,3,pedagogie
quiz_question_species,routes/plants,routes/plants.js,R,1,biodiversite
quiz_question_tutorials,lib/tutorialDedup,lib/tutorialDedup.js,W,2,pedagogie
quiz_question_tutorials,routes/learning-links,routes/learning-links.js,R,1,pedagogie
quiz_question_tutorials,routes/tutorials,routes/tutorials.js,R,1,pedagogie
quiz_questions,lib/curriculumNotions,lib/curriculumNotions.js,R,2,pedagogie
quiz_questions,lib/fmQuizCrud,lib/fmQuizCrud.js,R,2,pedagogie
quiz_questions,lib/fmQuizImport,lib/fmQuizImport.js,RW,3,pedagogie
quiz_questions,lib/learningGatingAcknowledge,lib/learningGatingAcknowledge.js,R,1,pedagogie
quiz_questions,lib/quizQuestionStats,lib/quizQuestionStats.js,R,1,pedagogie
quiz_questions,lib/shared/questionCrudCore,lib/shared/questionCrudCore.js,R,1,pedagogie
quiz_questions,routes/curriculum,routes/curriculum.js,R,1,pedagogie
quiz_questions,routes/glossary,routes/glossary.js,R,1,pedagogie
quiz_questions,routes/learning-links,routes/learning-links.js,R,3,pedagogie
quiz_questions,routes/plants,routes/plants.js,R,1,biodiversite
quiz_questions,routes/quiz,routes/quiz.js,R,9,pedagogie
quiz_questions,routes/tutorials,routes/tutorials.js,R,1,pedagogie
quiz_questions,scripts/audit-pedago-content,scripts/audit-pedago-content.js,R,1,script
quiz_questions,scripts/generate-linked-questions,scripts/generate-linked-questions.js,RW,3,script
quiz_questions,scripts/profile-memory-scenarios,scripts/profile-memory-scenarios.js,R,1,script
quiz_questions,scripts/suggest-learning-links,scripts/suggest-learning-links.js,R,1,script
rbac_seeded_permissions,lib/rbac,lib/rbac.js,RW,2,identite
resource_gating_cooldowns,lib/accountMerge,lib/accountMerge.js,RW,4,identite
resource_gating_cooldowns,lib/learningGatingAdmin,lib/learningGatingAdmin.js,RW,2,pedagogie
resource_gating_cooldowns,lib/learningGatingCooldown,lib/learningGatingCooldown.js,RW,6,pedagogie
resource_gating_cooldowns,lib/learningGatingOrphans,lib/learningGatingOrphans.js,W,1,pedagogie
resource_gating_cooldowns,lib/learningGatingProgress,lib/learningGatingProgress.js,R,1,pedagogie
resource_gating_cooldowns,lib/tutorialDedup,lib/tutorialDedup.js,W,2,pedagogie
resource_gating_cooldowns,scripts/check-gating-policy,scripts/check-gating-policy.js,R,1,script
resource_gating_cooldowns,scripts/purge-audit-logs,scripts/purge-audit-logs.js,RW,2,script
resource_gating_policy,lib/gatingPolicyLoad,lib/gatingPolicyLoad.js,R,2,pedagogie
resource_gating_policy,lib/gatingPolicyRouteHelpers,lib/gatingPolicyRouteHelpers.js,RW,4,pedagogie
resource_gating_policy,lib/learningGatingOrphans,lib/learningGatingOrphans.js,W,1,pedagogie
resource_gating_policy,lib/learningGatingProgress,lib/learningGatingProgress.js,R,2,pedagogie
resource_gating_policy,lib/tutorialDedup,lib/tutorialDedup.js,W,2,pedagogie
resource_gating_policy,routes/learning-links,routes/learning-links.js,R,4,pedagogie
resource_gating_policy,scripts/check-gating-policy,scripts/check-gating-policy.js,R,1,script
resource_question_links,lib/fmQuizCrud,lib/fmQuizCrud.js,W,2,pedagogie
resource_question_links,lib/fmQuizImport,lib/fmQuizImport.js,W,2,pedagogie
resource_question_links,lib/learningGatingAcknowledge,lib/learningGatingAcknowledge.js,R,2,pedagogie
resource_question_links,lib/learningGatingCooldown,lib/learningGatingCooldown.js,R,1,pedagogie
resource_question_links,lib/learningGatingLockMode,lib/learningGatingLockMode.js,R,2,pedagogie
resource_question_links,lib/learningGatingOrphans,lib/learningGatingOrphans.js,W,1,pedagogie
resource_question_links,lib/learningLinksBulk,lib/learningLinksBulk.js,W,4,pedagogie
resource_question_links,lib/quizQuestionStats,lib/quizQuestionStats.js,R,1,pedagogie
resource_question_links,lib/tutorialDedup,lib/tutorialDedup.js,W,2,pedagogie
resource_question_links,routes/glossary,routes/glossary.js,R,1,pedagogie
resource_question_links,routes/learning-links,routes/learning-links.js,RW,13,pedagogie
resource_question_links,routes/quiz,routes/quiz.js,R,1,pedagogie
resource_question_links,scripts/audit-pedago-content,scripts/audit-pedago-content.js,R,3,script
resource_question_links,scripts/generate-linked-questions,scripts/generate-linked-questions.js,RW,3,script
resource_question_links,scripts/suggest-learning-links,scripts/suggest-learning-links.js,RW,2,script
role_permissions,lib/legacySchemaCleanup,lib/legacySchemaCleanup.js,W,2,migration-runtime
role_permissions,lib/notifications,lib/notifications.js,R,1,social
role_permissions,lib/rbac,lib/rbac.js,RW,2,identite
role_permissions,routes/rbac,routes/rbac.js,RW,5,identite
roles,lib/effectiveRole,lib/effectiveRole.js,R,3,identite
roles,lib/groupDefaultRolePolicy,lib/groupDefaultRolePolicy.js,R,2,identite
roles,lib/groupScope,lib/groupScope.js,R,2,identite
roles,lib/learningGatingProgress,lib/learningGatingProgress.js,R,1,pedagogie
roles,lib/lti/identity,lib/lti/identity.js,R,1,identite
roles,lib/moodle/localState,lib/moodle/localState.js,R,1,identite
roles,lib/n3beurStudents,lib/n3beurStudents.js,R,3,identite
roles,lib/rbac,lib/rbac.js,RW,6,identite
roles,lib/rbacRoleAssignment,lib/rbacRoleAssignment.js,R,3,identite
roles,lib/rbacUserGroups,lib/rbacUserGroups.js,R,1,identite
roles,lib/shared/participationGuards,lib/shared/participationGuards.js,R,1,social
roles,lib/staffPlanAccess,lib/staffPlanAccess.js,R,1,terrain
roles,lib/studentProgressionSync,lib/studentProgressionSync.js,R,1,identite
roles,lib/studentTaskEnrollment,lib/studentTaskEnrollment.js,R,1,taches
roles,lib/tasks/taskQueries,lib/tasks/taskQueries.js,R,1,taches
roles,lib/teacherAdminSeed,lib/teacherAdminSeed.js,R,1,migration-runtime
roles,routes/auth,routes/auth.js,R,2,identite
roles,routes/groups,routes/groups.js,R,3,identite
roles,routes/rbac,routes/rbac.js,RW,20,identite
roles,routes/students,routes/students.js,R,5,identite
roles,routes/tasks,routes/tasks.js,R,1,taches
roles,scripts/ensure-admin-and-audit-db,scripts/ensure-admin-and-audit-db.js,R,3,script
roles,scripts/fix-auto-increment,scripts/fix-auto-increment.js,RW,2,script
schema_version,database,database.js,RW,3,migration-runtime
